Player 1 initial hand  6 5 5 1
Player 1 draws a 13 from deck 1
Player 1 discards a 6 to deck 2
Player 1 current hand  5 5 1 13
Player 1 draws a 13 from deck 1
Player 1 discards a 13 to deck 2
Player 1 current hand  5 5 1 13
Player 1 draws a 8 from deck 1
Player 1 discards a 5 to deck 2
Player 1 current hand  5 1 13 8
Player 1 draws a 5 from deck 1
Player 1 discards a 5 to deck 2
Player 1 current hand  5 1 13 8
Player 1 draws a 6 from deck 1
Player 1 discards a 8 to deck 2
Player 1 current hand  5 1 13 6
Player 1 draws a 1 from deck 1
Player 1 discards a 13 to deck 2
Player 1 current hand  5 1 6 1
Player 1 draws a 7 from deck 1
Player 1 discards a 7 to deck 2
Player 1 current hand  5 1 6 1
Player 1 draws a 1 from deck 1
Player 1 discards a 6 to deck 2
Player 1 current hand  5 1 1 1
Player 1 draws a 14 from deck 1
Player 1 discards a 5 to deck 2
Player 1 current hand  1 1 1 14
Player 1 draws a 4 from deck 1
Player 1 discards a 14 to deck 2
Player 1 current hand  1 1 1 4
Player 1 draws a 11 from deck 1
Player 1 discards a 4 to deck 2
Player 1 current hand  1 1 1 11
Player 1 draws a 9 from deck 1
Player 1 discards a 11 to deck 2
Player 1 current hand  1 1 1 9
Player 1 draws a 8 from deck 1
Player 1 discards a 9 to deck 2
Player 1 current hand  1 1 1 8
Player 1 draws a 7 from deck 1
Player 1 discards a 8 to deck 2
Player 1 current hand  1 1 1 7
Player 1 draws a 7 from deck 1
Player 1 discards a 7 to deck 2
Player 1 current hand  1 1 1 7
Player 1 draws a 10 from deck 1
Player 1 discards a 10 to deck 2
Player 1 current hand  1 1 1 7
Player 1 draws a 2 from deck 1
Player 1 discards a 7 to deck 2
Player 1 current hand  1 1 1 2
Player 1 draws a 13 from deck 1
Player 1 discards a 13 to deck 2
Player 1 current hand  1 1 1 2
Player 1 draws a 8 from deck 1
Player 1 discards a 8 to deck 2
Player 1 current hand  1 1 1 2
Player 1 draws a 3 from deck 1
Player 1 discards a 3 to deck 2
Player 1 current hand  1 1 1 2
Player 1 draws a 1 from deck 1
Player 1 discards a 2 to deck 2
Player 1 current hand  1 1 1 1
Player 1 wins
Player 1 exits
Player 1 final hand:  1 1 1 1
